scenario,event_id,market_id,decision_at,settlement_at,side,observed_price,simulated_entry_price,shares,fees,cost,payout,pnl,cluster,availability_verified
optimistic,792430,3316975,1788278400,1788472231,NO,0.915,0.920,10.83,0.0318835200,9.9954835200,10.83,0.8345164800,2026-09-01,False
optimistic,792448,3317068,1788285600,1788516180,NO,0.72,0.725,13.64,0.1087790000,9.9977790000,13.64,3.6422210000,2026-09-01,False
optimistic,792452,3317137,1788285600,1788473344,NO,0.915,0.920,10.83,0.0318835200,9.9954835200,10.83,0.8345164800,2026-09-01,False
optimistic,692426,2884133,1788300000,1788494673,NO,0.939,0.944,10.56,0.0223297536,9.9909697536,10.56,0.5690302464,2026-09-01,False
optimistic,722638,2992471,1788309000,1788503449,NO,0.94,0.945,10.55,0.0219334500,9.9916834500,10.55,0.5583165500,2026-09-02,False
optimistic,872183,3707314,1788368400,1788557341,NO,0.925,0.930,10.72,0.0279148800,9.9975148800,10.72,0.7224851200,2026-09-02,False
optimistic,879965,3741410,1788393540,1788582931,NO,0.625,0.630,15.64,0.1458273600,9.9990273600,0.00,-9.9990273600,2026-09-02,False
optimistic,879966,3741437,1788393540,1788579990,YES,0.8,0.805,12.32,0.0773572800,9.9949572800,12.32,2.3250427200,2026-09-02,False
optimistic,889995,3778642,1788487200,1788674881,NO,0.71,0.715,13.82,0.1126468200,9.9939468200,13.82,3.8260531800,2026-09-04,False
optimistic,478687,2244513,1788566400,1788859935,NO,0.815,0.820,12.10,0.0714384000,9.9934384000,12.10,2.1065616000,2026-09-05,False
optimistic,782655,3270747,1788735600,1788924411,NO,0.76,0.765,12.95,0.0931234500,9.9998734500,12.95,2.9501265500,2026-09-06,False
optimistic,782664,3270772,1788735600,1788924450,NO,0.905,0.910,10.94,0.0358394400,9.9912394400,10.94,0.9487605600,2026-09-06,False
optimistic,90375,704169,1788739200,1789026148,YES,0.835,0.840,11.82,0.0635443200,9.9923443200,0.00,-9.9923443200,2026-09-07,False
optimistic,821602,3450092,1788799500,1788986451,NO,0.9695,0.9745,10.25,0.010188397500,9.998813397500,10.25,0.251186602500,2026-09-07,False
optimistic,823417,3461862,1788879600,1789067029,NO,0.93,0.935,10.66,0.0259144600,9.9930144600,10.66,0.6669855400,2026-09-08,False
optimistic,823383,3461706,1788886800,1789073836,NO,0.715,0.720,13.73,0.1107187200,9.9963187200,13.73,3.7336812800,2026-09-08,False
optimistic,823467,3462232,1788886800,1789073794,NO,0.765,0.770,12.86,0.0911002400,9.9933002400,12.86,2.8666997600,2026-09-08,False
optimistic,823480,3462309,1788886800,1789073781,NO,0.925,0.930,10.72,0.0279148800,9.9975148800,0.00,-9.9975148800,2026-09-08,False
optimistic,820160,3441290,1788893100,1789080210,YES,0.735,0.740,13.37,0.1028955200,9.9966955200,13.37,3.3733044800,2026-09-08,False
optimistic,820204,3441590,1788893100,1789080241,NO,0.968,0.973,10.26,0.0107816184,9.9937616184,10.26,0.2662383816,2026-09-08,False
optimistic,797398,3344412,1789002000,1789189134,NO,0.91,0.915,10.89,0.0338787900,9.9982287900,10.89,0.8917712100,2026-09-10,False
optimistic,905026,3849987,1789009200,1789196814,NO,0.935,0.940,10.61,0.0239361600,9.9973361600,10.61,0.6126638400,2026-09-10,False
optimistic,645458,2723714,1789124400,1789311568,NO,0.9325,0.9375,10.64,0.024937500000,9.999937500000,10.64,0.640062500000,2026-09-11,False
optimistic,641931,2712402,1789126500,1789313574,NO,0.72,0.725,13.64,0.1087790000,9.9977790000,13.64,3.6422210000,2026-09-11,False
optimistic,641933,2712408,1789126500,1789313605,NO,0.952,0.957,10.43,0.0171681972,9.9986781972,10.43,0.4313218028,2026-09-11,False
optimistic,839250,3542662,1789257540,1789393374,NO,0.815,0.820,12.10,0.0714384000,9.9934384000,12.10,2.1065616000,2026-09-12,False
optimistic,227989,1427557,1789344000,1789611729,NO,0.8395,0.8445,11.76,0.061772810400,9.993092810400,11.76,1.766907189600,2026-09-14,False
optimistic,820157,3441283,1789411500,1789599444,NO,0.765,0.770,12.86,0.0911002400,9.9933002400,0.00,-9.9933002400,2026-09-14,False
optimistic,820172,3441337,1789411500,1789599313,NO,0.9625,0.9675,10.32,0.012979980000,9.997579980000,10.32,0.322420020000,2026-09-14,False
optimistic,820189,3441489,1789411500,1789599373,NO,0.94,0.945,10.55,0.0219334500,9.9916834500,10.55,0.5583165500,2026-09-14,False
optimistic,820193,3441528,1789411500,1789599373,NO,0.785,0.790,12.55,0.0832818000,9.9977818000,12.55,2.5522182000,2026-09-14,False
optimistic,820196,3441538,1789411500,1789599346,NO,0.939,0.944,10.56,0.0223297536,9.9909697536,10.56,0.5690302464,2026-09-14,False
optimistic,890511,3780629,1789434000,1789621486,NO,0.9535,0.9585,10.41,0.016563455100,9.994548455100,10.41,0.415451544900,2026-09-15,False
base,792430,3316975,1788278400,1788472231,NO,0.915,0.925,10.75,0.0522046875,9.9959546875,10.75,0.7540453125,2026-09-01,False
base,792448,3317068,1788285600,1788516180,NO,0.72,0.73,13.44,0.18543168,9.99663168,13.44,3.44336832,2026-09-01,False
base,792452,3317137,1788285600,1788473344,NO,0.915,0.925,10.75,0.0522046875,9.9959546875,10.75,0.7540453125,2026-09-01,False
